time_passed,earth_x,earth_y,earth_z,force_factor,
2.349998,-0.133956,-0.664812,0,2.023542,
2.359998,-0.133265,-0.676316,0,1.956865,
2.369998,-0.132549,-0.687691,0,1.894088,
2.379998,-0.131809,-0.698941,0,1.834904,
2.389998,-0.131046,-0.710066,0,1.779036,
2.399998,-0.13026,-0.721068,0,1.726233,
2.409998,-0.129452,-0.73195,0,1.676268,
2.419998,-0.128623,-0.742712,0,1.628935,
2.429998,-0.127773,-0.753357,0,1.584047,
2.439998,-0.126904,-0.763885,0,1.541433,
2.449998,-0.126016,-0.774299,0,1.500937,
2.459998,-0.12511,-0.7846,0,1.462418,
2.469998,-0.124185,-0.794789,0,1.425744,
2.479998,-0.123244,-0.804867,0,1.390797,
2.489998,-0.122285,-0.814836,0,1.357467,
2.499998,-0.121311,-0.824697,0,1.325652,
2.509998,-0.12032,-0.834451,0,1.29526,
2.519998,-0.119315,-0.8441,0,1.266205,
2.529998,-0.118294,-0.853643,0,1.238407,
2.539998,-0.11726,-0.863084,0,1.211794,
2.549998,-0.116211,-0.872422,0,1.186296,
2.559998,-0.115149,-0.881659,0,1.161852,
2.569998,-0.114074,-0.890795,0,1.138402,
2.579998,-0.112986,-0.899832,0,1.115893,
2.589998,-0.111886,-0.908771,0,1.094273,
2.599998,-0.110773,-0.917612,0,1.073495,
2.609998,-0.109649,-0.926356,0,1.053516,
2.619998,-0.108514,-0.935005,0,1.034294,
2.629998,-0.107368,-0.943558,0,1.015791,
2.639998,-0.106211,-0.952017,0,0.997971,
2.649998,-0.105043,-0.960383,0,0.9808,
2.659998,-0.103866,-0.968657,0,0.964247,
2.669998,-0.102678,-0.976838,0,0.948283,
2.679998,-0.101481,-0.984929,0,0.932878,
2.689998,-0.100275,-0.992929,0,0.918009,
2.699998,-0.099059,-1.000839,0,0.903648,
2.709998,-0.097835,-1.00866,0,0.889775,
2.719998,-0.096603,-1.016393,0,0.876367,
2.729998,-0.095361,-1.024038,0,0.863403,
2.739998,-0.094112,-1.031596,0,0.850865,
2.749998,-0.092855,-1.039067,0,0.838733,
2.759998,-0.09159,-1.046453,0,0.826991,
2.769998,-0.090318,-1.053753,0,0.815622,
2.779998,-0.089038,-1.060968,0,0.804611,
2.789998,-0.087752,-1.068099,0,0.793944,
2.799998,-0.086458,-1.075147,0,0.783606,
2.809998,-0.085158,-1.082111,0,0.773584,
2.819998,-0.083851,-1.088992,0,0.763867,
2.829998,-0.082538,-1.095792,0,0.754441,
2.839998,-0.081219,-1.102509,0,0.745297,
2.849998,-0.079894,-1.109146,0,0.736423,
2.859998,-0.078563,-1.115702,0,0.727809,
2.869998,-0.077227,-1.122177,0,0.719446,
2.879998,-0.075884,-1.128573,0,0.711324,
2.889998,-0.074537,-1.134889,0,0.703435,
2.899998,-0.073184,-1.141127,0,0.695771,
2.909998,-0.071827,-1.147285,0,0.688323,
2.919998,-0.070464,-1.153366,0,0.681084,
2.929998,-0.069097,-1.159369,0,0.674047,
2.939998,-0.067725,-1.165295,0,0.667205,
2.949998,-0.066348,-1.171143,0,0.660551,
2.959998,-0.064968,-1.176915,0,0.65408,
2.969998,-0.063583,-1.182611,0,0.647785,
2.979998,-0.062194,-1.188231,0,0.64166,
2.989998,-0.060801,-1.193775,0,0.635701,
2.999998,-0.059404,-1.199244,0,0.629901,
3.009998,-0.058004,-1.204639,0,0.624256,
3.019998,-0.056599,-1.209958,0,0.618761,
3.029998,-0.055192,-1.215204,0,0.613412,
3.039998,-0.053781,-1.220376,0,0.608204,
3.049998,-0.052367,-1.225474,0,0.603133,
3.059998,-0.050949,-1.230498,0,0.598194,
3.069998,-0.049529,-1.23545,0,0.593385,
3.079998,-0.048106,-1.240329,0,0.588701,
3.089998,-0.04668,-1.245136,0,0.584139,
3.099998,-0.045251,-1.24987,0,0.579695,
3.109998,-0.04382,-1.254532,0,0.575366,
3.119998,-0.042386,-1.259123,0,0.571149,
3.129997,-0.04095,-1.263642,0,0.567041,
3.139997,-0.039511,-1.26809,0,0.563039,
3.149997,-0.03807,-1.272468,0,0.55914,
3.159997,-0.036627,-1.276775,0,0.555342,
3.169997,-0.035182,-1.281011,0,0.551641,
3.179997,-0.033736,-1.285177,0,0.548037,
3.189997,-0.032287,-1.289273,0,0.544525,
3.199997,-0.030836,-1.293299,0,0.541104,
3.209997,-0.029384,-1.297256,0,0.537771,
3.219997,-0.027931,-1.301143,0,0.534526,
3.229997,-0.026475,-1.304961,0,0.531364,
3.239997,-0.025019,-1.308711,0,0.528285,
3.249997,-0.023561,-1.312391,0,0.525287,
3.259997,-0.022102,-1.316003,0,0.522367,
3.269997,-0.020642,-1.319547,0,0.519525,
3.279997,-0.01918,-1.323022,0,0.516757,
3.289997,-0.017718,-1.32643,0,0.514064,
3.299997,-0.016255,-1.329769,0,0.511442,
3.309997,-0.014791,-1.333041,0,0.508891,
3.319997,-0.013326,-1.336246,0,0.506409,
3.329997,-0.011861,-1.339383,0,0.503995,
3.339997,-0.010395,-1.342453,0,0.501648,
3.349997,-0.008928,-1.345456,0,0.499365,
3.359997,-0.007461,-1.348392,0,0.497147,
3.369997,-0.005994,-1.351261,0,0.494991,
3.379997,-0.004526,-1.354064,0,0.492896,
3.389997,-0.003058,-1.3568,0,0.490862,
3.399997,-0.00159,-1.35947,0,0.488887,
3.409997,-0.000122,-1.362073,0,0.486971,
3.419997,0.001346,-1.364611,0,0.485112,
3.429997,0.002814,-1.367082,0,0.483309,
3.439997,0.004282,-1.369488,0,0.481561,
3.449997,0.00575,-1.371828,0,0.479868,
3.459997,0.007217,-1.374102,0,0.478229,
3.469997,0.008684,-1.376311,0,0.476642,
3.479997,0.010151,-1.378455,0,0.475107,
3.489997,0.011617,-1.380533,0,0.473624,
3.499997,0.013083,-1.382546,0,0.472191,
3.509997,0.014548,-1.384494,0,0.470808,
3.519997,0.016012,-1.386377,0,0.469475,
3.529997,0.017476,-1.388195,0,0.468189,
3.539997,0.018939,-1.389949,0,0.466952,
3.549997,0.020401,-1.391637,0,0.465762,
3.559997,0.021861,-1.393261,0,0.464619,
3.569997,0.023321,-1.39482,0,0.463522,
3.579997,0.02478,-1.396315,0,0.462471,
3.589997,0.026238,-1.397745,0,0.461465,
3.599997,0.027695,-1.399111,0,0.460504,
3.609997,0.02915,-1.400413,0,0.459587,
3.619997,0.030604,-1.40165,0,0.458714,
3.629997,0.032056,-1.402824,0,0.457885,
3.639997,0.033507,-1.403933,0,0.457098,
3.649997,0.034957,-1.404978,0,0.456355,
3.659997,0.036405,-1.405959,0,0.455654,
3.669997,0.037851,-1.406876,0,0.454995,
3.679997,0.039295,-1.407729,0,0.454377,
3.689997,0.040738,-1.408518,0,0.453802,
3.699997,0.042179,-1.409244,0,0.453267,
3.709997,0.043618,-1.409905,0,0.452774,
3.719997,0.045055,-1.410503,0,0.452321,
3.729997,0.04649,-1.411037,0,0.45191,
3.739997,0.047923,-1.411508,0,0.451538,
3.749997,0.049354,-1.411914,0,0.451207,
3.759997,0.050782,-1.412257,0,0.450916,
3.769997,0.052209,-1.412537,0,0.450665,
3.779997,0.053632,-1.412753,0,0.450454,
3.789997,0.055054,-1.412905,0,0.450282,
3.799997,0.056473,-1.412993,0,0.450151,
3.809997,0.057889,-1.413018,0,0.450059,
3.819997,0.059303,-1.412979,0,0.450006,
3.829997,0.060714,-1.412877,0,0.449994,
3.839997,0.062123,-1.412711,0,0.450021,
3.849997,0.063528,-1.412482,0,0.450087,
3.859997,0.064931,-1.412189,0,0.450193,
3.869997,0.066331,-1.411832,0,0.450339,
3.879997,0.067728,-1.411412,0,0.450525,
3.889997,0.069122,-1.410928,0,0.45075,
3.899997,0.070512,-1.410381,0,0.451015,
3.909997,0.0719,-1.40977,0,0.451321,
3.919997,0.073284,-1.409095,0,0.451666,
3.929997,0.074665,-1.408357,0,0.452052,
3.939997,0.076043,-1.407555,0,0.452479,
3.949997,0.077417,-1.406689,0,0.452946,
3.959997,0.078787,-1.405759,0,0.453454,
3.969997,0.080154,-1.404765,0,0.454003,
3.979997,0.081518,-1.403708,0,0.454594,
3.989997,0.082877,-1.402587,0,0.455226,
3.999997,0.084233,-1.401401,0,0.4559,
4.009997,0.085585,-1.400152,0,0.456616,
4.019997,0.086933,-1.398839,0,0.457375,
4.029997,0.088278,-1.397461,0,0.458177,
4.039998,0.089618,-1.39602,0,0.459022,
4.049998,0.090954,-1.394514,0,0.45991,
4.059998,0.092285,-1.392944,0,0.460843,
4.069998,0.093613,-1.39131,0,0.46182,
4.079998,0.094936,-1.389611,0,0.462842,
4.089999,0.096255,-1.387848,0,0.46391,
4.099999,0.097569,-1.38602,0,0.465023,
4.109999,0.098879,-1.384128,0,0.466183,
4.119999,0.100184,-1.382171,0,0.46739,
4.13,0.101485,-1.380149,0,0.468644,
4.14,0.10278,-1.378062,0,0.469947,
4.15,0.104071,-1.375911,0,0.471298,
4.16,0.105357,-1.373694,0,0.472699,
4.170001,0.106638,-1.371412,0,0.474149,
4.180001,0.107914,-1.369065,0,0.475651,
4.190001,0.109185,-1.366653,0,0.477204,
4.200001,0.11045,-1.364175,0,0.47881,
4.210001,0.11171,-1.361632,0,0.480468,
4.220002,0.112965,-1.359023,0,0.482181,
4.230002,0.114214,-1.356348,0,0.483948,
4.240002,0.115458,-1.353607,0,0.485771,
4.250002,0.116696,-1.350801,0,0.487651,
4.260003,0.117929,-1.347928,0,0.489588,
4.270003,0.119155,-1.344989,0,0.491584,
4.280003,0.120376,-1.341983,0,0.493639,
4.290003,0.121591,-1.338911,0,0.495756,
4.300004,0.1228,-1.335773,0,0.497934,
4.310004,0.124002,-1.332567,0,0.500176,
4.320004,0.125198,-1.329295,0,0.502481,
4.330004,0.126388,-1.325955,0,0.504852,
4.340004,0.127572,-1.322549,0,0.50729,
4.350005,0.128749,-1.319074,0,0.509797,
4.360005,0.12992,-1.315532,0,0.512373,
4.370005,0.131084,-1.311923,0,0.51502,
4.380005,0.132241,-1.308245,0,0.51774,
4.390006,0.133391,-1.3045,0,0.520534,
4.400006,0.134534,-1.300686,0,0.523404,
4.410006,0.13567,-1.296804,0,0.526352,
4.420006,0.136799,-1.292853,0,0.529379,
4.430007,0.137921,-1.288833,0,0.532487,
4.440007,0.139035,-1.284744,0,0.535678,
4.450007,0.140142,-1.280586,0,0.538955,
4.460007,0.141241,-1.276358,0,0.542319,
4.470007,0.142332,-1.272061,0,0.545772,
4.480008,0.143416,-1.267694,0,0.549317,
4.490008,0.144491,-1.263257,0,0.552956,
4.500008,0.145559,-1.258749,0,0.556691,
4.510008,0.146619,-1.254171,0,0.560525,
4.520009,0.14767,-1.249523,0,0.56446,
4.530009,0.148713,-1.244803,0,0.5685,
4.540009,0.149747,-1.240012,0,0.572647,
4.550009,0.150772,-1.235149,0,0.576904,
4.560009,0.151789,-1.230214,0,0.581273,
4.57001,0.152797,-1.225208,0,0.585759,
4.58001,0.153796,-1.220129,0,0.590365,
4.59001,0.154786,-1.214977,0,0.595093,
4.60001,0.155767,-1.209753,0,0.599948,
4.610011,0.156738,-1.204455,0,0.604934,
4.620011,0.157699,-1.199084,0,0.610054,
4.630011,0.158651,-1.19364,0,0.615312,
4.640011,0.159593,-1.188121,0,0.620713,
4.650012,0.160525,-1.182527,0,0.626261,
4.660012,0.161447,-1.176859,0,0.631961,
4.670012,0.162359,-1.171116,0,0.637817,
4.680012,0.16326,-1.165298,0,0.643835,
